1 11003.611100 42102.500000
2 11108.611100 42373.888900
3 11133.333300 42885.833300
4 11155.833300 42712.500000
5 11183.333300 42933.333300
6 11297.500000 42853.333300
7 11310.277800 42929.444400
8 11416.666700 42983.333300
9 11423.888900 43000.277800
10 11438.333300 42057.222200
11 11461.111100 43252.777800
12 11485.555600 43187.222200
13 11503.055600 42855.277800
14 11511.388900 42106.388900
15 11522.222200 42841.944400
16 11569.444400 43136.666700
17 11583.333300 43150.000000
18 11595.000000 43148.055600
19 11600.000000 43150.000000
20 11690.555600 42686.666700
21 11715.833300 41836.111100
22 11751.111100 42814.444400
23 11770.277800 42651.944400
24 11785.277800 42884.444400
25 11822.777800 42673.611100
26 11846.944400 42660.555600
27 11963.055600 43290.555600
28 11973.055600 43026.111100
29 12058.333300 42195.555600
30 12149.444400 42477.500000
31 12286.944400 43355.555600
32 12300.000000 42433.333300
33 12355.833300 43156.388900
34 12363.333300 43189.166700
35 12372.777800 42711.388900
36 12386.666700 43334.722200
37 12421.666700 42895.555600
38 12645.000000 42973.333300
vertice 	vertice
1	2
1	4
1	10
1	15
1	17
2	16
2	3
2	7
2	10
2	11
3	12
3	18
3	28
3	27
3	29
4	11
4	19
4	22
4	13
4	14
4	6
4	16
5	27
5	29
5	30
6	31
6	33
6	34
6	17
6	8
7	8
7	9
7	10
7	38
7	3
7	26
7	13
7	37
8	4
8	7
8	15
8	17
8	25
8	29
8	28
8	34
8	35
9	37
9	23
9	21
9	11
10	21
10	23
10	24
10	38
10	22
10	17
11	5
11	4
11	2
12	1
12	19
12	29
12	27
12	26
12	36
12	34
13	33
13	32
13	23
13	26
13	26
13	28
13	19
13	21
14	7
14	6
14	3
14	2
14	9
15	10
15	11
15	14
16	16
16	23
17	34
17	33
17	37
17	38
18	21
18	20
18	19
19	17
19	16
19	2
19	8
20	14
20	3
20	2
20	6
21	5
21	11
21	16
21	22
22	28
23	26
24	32
24	31
25	27
26	29
26	30
26	20
27	10
27	22
27	23
27	7
28	9
28	12
28	15
29	19
29	20
29	22
30	11
30	23
30	29
30	12
31	23
31	33
32	27
32	17
32	14
32	16
33	16
33	2
33	7
33	8
33	9
34	10
34	9
34	15
34	28
34	38
35	27
35	23
35	32
35	12
35	11
35	8
36	6
36	23
36	34
36	33
36	2
36	37
37	25
37	23
37	12
37	9
38	23
38	15
38	18
38	22
